frame,person,KP_0_x,KP_0_y,KP_1_x,KP_1_y,KP_2_x,KP_2_y,KP_3_x,KP_3_y,KP_4_x,KP_4_y,KP_5_x,KP_5_y,KP_6_x,KP_6_y,KP_16_x,KP_16_y
127,1,446.381,129.205,333.26,182.387,273.314,191.279,308.847,348.745,441.956,317.687,399.798,169.047,393.133,293.335,435.237,113.736
128,1,446.354,131.326,333.241,184.6,271.085,193.523,308.817,348.808,439.723,317.72,399.893,169.155,397.556,293.39,435.212,115.833
129,1,444.208,131.352,331.072,182.434,268.95,195.676,308.764,348.83,437.557,317.764,399.879,166.896,397.535,293.321,433.176,115.9
130,1,446.336,131.36,331.035,182.427,268.898,193.498,306.646,350.969,439.71,317.69,399.837,166.881,388.743,304.392,433.171,115.892
131,1,444.205,131.364,331.029,184.577,268.927,193.535,306.601,350.972,439.749,317.74,399.862,169.057,386.49,306.617,433.154,115.889
132,1,444.183,131.403,328.897,184.532,268.907,193.478,306.554,350.991,444.142,319.917,399.824,169.049,388.712,306.599,433.185,115.872
133,1,444.181,131.398,328.893,182.431,268.917,195.691,306.564,351.048,446.357,322.111,399.813,166.862,386.505,306.598,433.184,115.825
134,1,444.128,131.416,331.007,184.538,268.892,193.529,306.574,353.204,448.636,322.2,399.813,166.923,393.11,304.414,435.183,115.874
135,1,441.996,131.445,331.003,184.571,268.912,195.706,304.449,353.23,450.764,324.349,399.79,169.067,390.922,304.438,433.173,115.933
136,1,441.953,131.477,328.883,184.606,266.699,193.535,306.57,353.24,450.766,324.364,399.746,169.125,393.136,306.66,435.191,118.083
137,1,441.951,131.476,328.88,184.616,266.708,195.697,306.571,353.252,450.785,324.37,399.747,169.124,393.143,306.657,435.196,118.078
138,1,439.794,133.499,328.849,184.582,266.716,195.676,306.55,355.403,450.764,324.388,397.615,169.121,390.925,306.644,433.146,118.118
139,1,439.784,133.53,328.83,184.524,264.51,193.481,304.442,355.421,450.757,324.384,399.755,166.932,390.941,306.632,433.158,120.288
140,1,439.696,133.667,328.834,184.592,262.308,191.304,304.397,357.599,455.266,326.501,399.836,169.146,393.176,308.795,433.087,122.512
141,1,437.563,133.67,331.061,184.704,264.518,193.494,304.356,357.602,459.69,326.539,402.014,173.569,395.368,308.822,433.063,122.553
142,1,437.515,135.785,331.045,184.683,266.734,195.683,304.382,355.442,455.287,326.506,401.985,173.52,395.358,308.788,433.005,124.773
143,1,437.489,135.795,331.011,184.642,266.731,197.896,304.369,355.46,466.333,326.599,399.86,171.277,395.367,308.777,432.97,124.733
144,1,435.392,135.788,328.912,184.702,266.716,197.89,304.366,355.451,455.26,326.5,399.835,173.542,395.378,308.766,430.906,124.785
145,1,435.409,135.807,331.012,186.761,266.7,197.892,304.4,355.443,448.624,324.328,399.858,175.74,393.152,308.759,432.942,124.755
146,1,435.404,135.803,328.896,184.702,264.515,197.913,304.411,355.438,439.767,322.136,399.84,175.717,393.111,308.773,432.939,124.718
147,1,435.374,135.796,328.882,184.697,264.479,197.892,304.426,355.454,441.962,317.739,399.863,173.553,393.155,306.634,430.894,122.563
148,1,435.389,135.797,328.86,184.67,264.475,195.737,304.422,355.449,439.708,313.376,399.831,173.501,388.744,306.581,430.907,122.562
149,1,435.392,135.796,328.862,184.678,264.47,195.728,306.552,355.44,439.727,313.368,399.83,173.527,390.895,306.578,430.906,122.563
150,1,435.352,135.803,328.911,186.818,264.484,195.727,306.564,355.456,439.767,311.183,399.838,180.174,384.309,306.602,430.877,124.738
